IDpol,ClaimAmount,cumulative_cost,cumulative_cost_share,claim_rank,cumulative_claim_share,Region,DriverAgeGroup,Vehicle Age Groups,Bonus-Malus Groups,VehGas,DrivAge,VehAge,BonusMalus,Exposure,ExtremeClaim
1017853,121959.21,13897480.890000004,0.23197567422701995,34,0.0012857358947209196,Basse-Normandie,46-55,11-15,50,Diesel,51,11,50,0.06,False
2226904,120000.0,14017480.890000004,0.23397870492931597,35,0.0013235516563303584,Languedoc-Roussillon,66+,3-5,65-84,Regular,67,3,72,0.33,False
4167474,118000.0,14135480.890000004,0.23594835178657375,36,0.0013613674179397974,Rhone-Alpes,18-25,11-15,100+,Regular,20,14,100,0.07,False
30738,116318.9,14251799.790000005,0.2378899378528846,37,0.0013991831795492362,Bretagne,36-45,11-15,50,Regular,37,11,50,0.62,False
2125576,115484.11,14367283.900000004,0.2398175896691957,38,0.001436998941158675,Centre,46-55,6-10,50,Regular,49,10,50,0.27,False
28509,115232.88,14482516.780000005,0.24174104797381232,39,0.0014748147027681137,Centre,66+,6-10,50,Diesel,76,9,50,0.09,False
3041107,114759.95,14597276.730000004,0.24365661216751194,40,0.0015126304643775525,Ile-de-France,36-45,11-15,100+,Regular,39,15,100,0.13,False
2205491,109743.72,14707020.450000005,0.24548844583871346,41,0.0015504462259869913,Rhone-Alpes,36-45,6-10,65-84,Regular,40,6,76,1.0,False
5041230,99260.24,14806280.690000005,0.24714529007402405,42,0.0015882619875964303,Rhone-Alpes,66+,0-2,51-64,Regular,77,2,60,0.87,False
43832,96422.32,14902703.010000005,0.24875476396857918,43,0.001626077749205869,Centre,66+,3-5,50,Regular,75,4,50,1.0,False
2101212,92149.0,14994852.010000005,0.2502929079367948,44,0.0016638935108153079,Centre,46-55,6-10,65-84,Diesel,52,7,71,0.1,False
4176317,89480.64,15084332.650000006,0.2517865118466373,45,0.0017017092724247466,Centre,56-65,16-20,50,Regular,60,16,50,0.76,False
2009256,86729.6,15171062.250000006,0.25323419560995275,46,0.0017395250340341854,Centre,56-65,0-2,50,Regular,58,1,50,0.95,False
3068252,86719.2,15257781.450000005,0.254681705777274,47,0.0017773407956436242,Ile-de-France,36-45,11-15,85-99,Regular,41,11,85,0.81,False
5055089,85552.27,15343333.720000004,0.25610973763945,48,0.001815156557253063,Aquitaine,26-35,3-5,51-64,Diesel,33,5,57,0.49,False
175126,85442.21,15428775.930000005,0.25753593238863354,49,0.001852972318862502,Centre,26-35,16-20,85-99,Regular,34,16,90,0.44,False
3097066,78104.83,15506880.760000005,0.25883965215936366,50,0.0018907880804719408,Provence-Alpes-Cotes-D'Azur,46-55,3-5,50,Regular,47,4,50,1.0,False
3234374,75000.0,15581880.760000005,0.2600915463482987,51,0.0019286038420813795,Provence-Alpes-Cotes-D'Azur,36-45,6-10,65-84,Diesel,41,8,76,0.24,False
109729,74966.23,15656846.990000006,0.2613428768510102,52,0.0019664196036908183,Bretagne,36-45,11-15,50,Regular,41,12,50,0.48,False
85926,74784.9,15731631.890000006,0.2625911806074114,53,0.002004235365300257,Provence-Alpes-Cotes-D'Azur,18-25,3-5,85-99,Diesel,24,5,95,1.0,False
4001936,73831.86,15805463.750000006,0.2638235762939749,54,0.002042051126909696,Aquitaine,46-55,0-2,50,Regular,48,1,50,0.28,False
77327,73002.7,15878466.450000005,0.26504213170606244,55,0.0020798668885191347,Nord-Pas-de-Calais,46-55,0-2,50,Diesel,48,0,50,0.04,False
125903,71791.29,15950257.740000004,0.26624046635629106,56,0.0021176826501285734,Centre,26-35,0-2,51-64,Diesel,32,0,62,0.06,False
3150345,71339.92,16021597.660000004,0.26743126677345225,57,0.0021554984117380122,Centre,36-45,11-15,100+,Regular,38,12,106,1.0,False
63532,70208.0,16091805.660000004,0.2686031732696756,58,0.002193314173347451,Provence-Alpes-Cotes-D'Azur,46-55,11-15,50,Diesel,47,12,50,0.41,False
2166361,70000.0,16161805.660000004,0.26977160784601495,59,0.0022311299349568902,Centre,26-35,3-5,65-84,Regular,31,4,72,0.04,False
2208742,70000.0,16231805.660000004,0.2709400424223543,60,0.002268945696566329,Bretagne,56-65,6-10,50,Diesel,57,10,50,0.75,False
17711,69348.0,16301153.660000004,0.27209759386521115,61,0.0023067614581757678,Bretagne,46-55,3-5,50,Diesel,50,5,50,0.49,False
160298,69317.47,16370471.130000005,0.27325463570367353,62,0.0023445772197852066,Centre,46-55,0-2,50,Diesel,52,1,50,0.12,False
1188708,68700.0,16439171.130000005,0.274401370780738,63,0.0023823929813946453,Provence-Alpes-Cotes-D'Azur,66+,16-20,65-84,Regular,66,17,76,0.31,False
5042180,68361.0,16507532.130000005,0.2755424472960685,64,0.002420208743004084,Aquitaine,46-55,6-10,50,Regular,47,8,50,0.82,False
2200340,68088.66,16575620.790000005,0.27667897793322016,65,0.002458024504613523,Basse-Normandie,56-65,0-2,50,Regular,64,2,50,0.82,False
2081784,67986.88,16643607.670000006,0.2778138096664978,66,0.0024958402662229617,Poitou-Charentes,36-45,6-10,50,Regular,40,7,50,0.33,False
18916,66458.9,16710066.570000006,0.27892313647600464,67,0.0025336560278324005,Centre,46-55,6-10,50,Regular,49,7,50,0.33,False
1122179,66423.85,16776490.420000006,0.2800318782336272,68,0.0025714717894418392,Aquitaine,18-25,0-2,65-84,Diesel,23,1,76,0.37,False
3049203,65181.79,16841672.210000005,0.2811198876219656,69,0.002609287551051278,Pays-de-la-Loire,46-55,16-20,51-64,Regular,52,17,55,0.05,False
3105789,65100.0,16906772.210000005,0.28220653177796123,70,0.002647103312660717,Centre,46-55,6-10,50,Diesel,52,9,50,0.68,False
148604,64047.64,16970819.850000005,0.2832756100223746,71,0.0026849190742701556,Ile-de-France,36-45,3-5,65-84,Diesel,38,5,76,1.0,False
1057872,63497.87,17034317.720000006,0.28433551154854464,72,0.002722734835879595,Bretagne,18-25,6-10,85-99,Regular,21,6,90,0.21,False
2211587,62400.0,17096717.720000006,0.2853770875137386,73,0.0027605505974890336,Pays-de-la-Loire,46-55,11-15,50,Diesel,53,13,50,0.48,False
4037514,61469.0,17158186.720000006,0.2864031232990672,74,0.0027983663590984724,Ile-de-France,66+,0-2,50,Regular,71,1,50,0.28,False
4146144,61204.0,17219390.720000006,0.2874247357249282,75,0.002836182120707911,Centre,26-35,3-5,65-84,Diesel,28,5,76,0.2,False
1080933,58711.0,17278101.720000006,0.28840473518794907,76,0.00287399788231735,Lorraine,26-35,0-2,51-64,Diesel,32,2,57,0.75,False
2166718,56219.6,17334321.320000008,0.2893431483952058,77,0.0029118136439267887,Centre,18-25,16-20,100+,Regular,18,17,100,0.18,False
3186271,55152.45,17389473.770000007,0.2902637488173462,78,0.0029496294055362275,Languedoc-Roussillon,36-45,6-10,65-84,Diesel,36,7,75,1.0,False
2225771,55000.0,17444473.770000007,0.29118180455589854,79,0.0029874451671456663,Provence-Alpes-Cotes-D'Azur,46-55,0-2,50,Diesel,52,1,50,0.45,False
4020812,54942.62,17499416.390000008,0.29209890251193676,80,0.003025260928755105,Ile-de-France,46-55,0-2,51-64,Diesel,53,2,52,0.21,False
2122292,54551.92,17553968.31000001,0.29300947893384677,81,0.003063076690364544,Centre,66+,3-5,100+,Regular,74,3,112,0.48,False
2139940,54400.12,17608368.43000001,0.29391752152191836,82,0.0031008924519739826,Bourgogne,26-35,11-15,85-99,Regular,31,11,95,0.78,False
2145625,52349.76,17660718.190000013,0.2947913396597336,83,0.0031387082135834214,Centre,18-25,0-2,100+,Regular,20,1,100,0.46,False
1163542,51857.75,17712575.940000013,0.2956569452047502,84,0.0031765239751928606,Centre,26-35,6-10,100+,Diesel,28,10,112,1.0,False
157880,51826.55,17764402.490000013,0.29652202996178423,85,0.0032143397368022994,Centre,66+,6-10,85-99,Regular,77,7,85,1.0,False
4181821,51204.0,17815606.490000013,0.29737672316245395,86,0.003252155498411738,Rhone-Alpes,26-35,6-10,100+,Diesel,28,10,100,0.23,False
2088184,50880.0,17866486.490000013,0.29822600818022743,87,0.003289971260021177,Provence-Alpes-Cotes-D'Azur,36-45,11-15,51-64,Regular,36,12,51,1.0,False
3185572,50842.78,17917329.270000014,0.2990746719246448,88,0.0033277870216306157,Pays-de-la-Loire,26-35,6-10,65-84,Regular,34,7,76,0.9,False
2129111,50000.0,17967329.270000014,0.29990926805060153,89,0.0033656027832400545,Nord-Pas-de-Calais,56-65,6-10,51-64,Diesel,56,8,62,0.2,False
5014750,50000.0,18017329.270000014,0.3007438641765582,90,0.0034034185448494933,Provence-Alpes-Cotes-D'Azur,46-55,3-5,50,Regular,54,5,50,0.45,False
5060194,49420.0,18066749.270000014,0.30156877898745377,91,0.003441234306458932,Provence-Alpes-Cotes-D'Azur,46-55,0-2,51-64,Diesel,53,1,51,0.58,False
2197215,48735.0,18115484.270000014,0.30238225983142375,92,0.003479050068068371,Basse-Normandie,36-45,0-2,50,Regular,42,2,50,1.0,False
3164064,46105.94,18161590.210000016,0.3031518566095756,93,0.0035168658296778096,Centre,26-35,11-15,51-64,Regular,32,15,54,0.15,False
129733,45734.7,18207324.910000015,0.3039152566784114,94,0.0035546815912872484,Centre,56-65,3-5,50,Regular,59,3,50,1.0,False
1189505,45000.0,18252324.910000015,0.3046663931917724,95,0.003592497352896687,Provence-Alpes-Cotes-D'Azur,46-55,6-10,50,Regular,50,7,50,0.51,False
1024506,44927.41,18297252.320000015,0.30541631803847774,96,0.003630313114506126,Centre,26-35,11-15,50,Diesel,35,12,50,0.59,False
1040527,43963.58,18341215.900000013,0.30615015470950147,97,0.003668128876115565,Rhone-Alpes,46-55,6-10,50,Diesel,53,6,50,1.0,False
4141918,43858.91,18385074.810000014,0.3068822442369951,98,0.003705944637725004,Ile-de-France,56-65,16-20,50,Regular,63,16,50,0.06,False
1126444,43808.54,18428883.350000013,0.30761349299235147,99,0.0037437603993344427,Basse-Normandie,46-55,3-5,50,Regular,50,3,50,0.63,False
40625,43742.04,18472625.39000001,0.3083436317348603,100,0.0037815761609438815,Rhone-Alpes,36-45,11-15,50,Diesel,42,15,50,0.8,False
3063354,43160.0,18515785.39000001,0.3090640551107861,101,0.0038193919225533203,Centre,46-55,3-5,50,Diesel,54,5,50,0.74,False
1034084,42829.24,18558614.63000001,0.3097789574664195,102,0.003857207684162759,Poitou-Charentes,26-35,3-5,50,Regular,33,3,50,1.0,False
2083188,42542.89,18601157.52000001,0.3104890800900395,103,0.003895023445772198,Rhone-Alpes,46-55,6-10,50,Diesel,47,10,50,0.29,False
4135354,42450.0,18643607.52000001,0.3111976522009767,104,0.003932839207381637,Centre,56-65,11-15,50,Diesel,57,15,50,0.46,False
2191680,42057.71,18685665.23000001,0.31189967623762893,105,0.003970654968991075,Centre,66+,0-2,50,Diesel,72,2,50,0.35,False
1013313,41689.45,18727354.68000001,0.3125955533068942,106,0.004008470730600514,Provence-Alpes-Cotes-D'Azur,26-35,0-2,85-99,Regular,29,0,95,0.16,False
78656,41614.72,18768969.40000001,0.31329018298878963,107,0.004046286492209953,Bretagne,18-25,0-2,100+,Diesel,19,0,100,0.08,False
4164838,41204.0,18810173.40000001,0.313977956964268,108,0.004084102253819392,Centre,26-35,16-20,100+,Regular,26,18,100,0.66,False
4128179,41204.0,18851377.40000001,0.31466573093974637,109,0.0041219180154288305,Pays-de-la-Loire,36-45,6-10,50,Diesel,40,10,50,0.4,False
159193,40408.12,18891785.52000001,0.31534022014793023,110,0.004159733777038269,Basse-Normandie,46-55,6-10,50,Diesel,50,8,50,1.0,False
76323,40000.0,18931785.52000001,0.3160078970486956,111,0.004197549538647708,Rhone-Alpes,18-25,3-5,100+,Diesel,24,4,118,0.88,False
2261431,40000.0,18971785.52000001,0.31667557394946094,112,0.004235365300257147,Languedoc-Roussillon,18-25,3-5,100+,Diesel,20,4,100,0.98,False
2077200,39850.0,19011635.52000001,0.3173407470618484,113,0.004273181061866586,Rhone-Alpes,46-55,11-15,51-64,Regular,54,15,55,0.88,False
3043122,39739.35,19051374.870000012,0.31800407321300916,114,0.0043109968234760244,Provence-Alpes-Cotes-D'Azur,26-35,6-10,85-99,Regular,28,8,90,0.94,False
4186822,39660.0,19091034.870000012,0.318666074860118,115,0.004348812585085463,Centre,66+,3-5,51-64,Regular,81,3,62,1.0,False
3145341,39204.0,19130238.870000012,0.3193204649905581,116,0.004386628346694902,Poitou-Charentes,66+,11-15,50,Diesel,76,13,50,1.0,False
2080575,39172.64,19169411.510000013,0.31997433166230804,117,0.004424444108304342,Centre,36-45,6-10,51-64,Regular,40,10,60,0.11,False
84109,39071.07,19208482.580000013,0.3206265029354877,118,0.0044622598699137804,Pays-de-la-Loire,18-25,11-15,100+,Regular,22,13,156,0.65,False
3086880,37622.0,19246104.580000013,0.32125448644450255,119,0.004500075631523219,Bretagne,36-45,11-15,50,Diesel,44,11,50,0.77,False
3161740,37547.19,19283651.770000014,0.32188122123079377,120,0.004537891393132658,Bourgogne,46-55,3-5,51-64,Regular,51,5,58,1.0,False
1089943,36337.24,19319989.010000013,0.3224877596254329,121,0.004575707154742097,Pays-de-la-Loire,18-25,6-10,100+,Regular,18,9,100,0.04,False
4141223,36204.0,19356193.010000013,0.3230920739883156,122,0.0046135229163515356,Bourgogne,36-45,6-10,100+,Diesel,41,7,147,1.0,False
3124522,35831.0,19392024.010000013,0.3236901622640987,123,0.004651338677960974,Rhone-Alpes,36-45,11-15,100+,Regular,44,14,112,0.63,False
1094460,35705.32,19427729.330000013,0.3242861526990595,124,0.004689154439570413,Rhone-Alpes,36-45,3-5,51-64,Regular,37,5,56,1.0,False
35452,35600.44,19463329.770000014,0.32488039248518663,125,0.004726970201179852,Rhone-Alpes,46-55,0-2,50,Diesel,55,2,50,0.23,False
1098349,35326.79,19498656.560000014,0.32547006452671634,126,0.004764785962789291,Centre,26-35,6-10,65-84,Regular,35,10,68,0.58,False
4039840,35193.25,19533849.810000014,0.3260575075289128,127,0.0048026017243987295,Limousin,36-45,0-2,51-64,Diesel,43,2,54,0.81,False
53924,35098.33,19568948.14000001,0.3266433661338238,128,0.004840417486008168,Centre,36-45,6-10,50,Regular,42,9,50,0.28,False
164137,35063.27,19604011.41000001,0.32722863951993125,129,0.004878233247617607,Centre,46-55,0-2,50,Diesel,51,1,50,0.52,False
2140037,35000.0,19639011.41000001,0.3278128568081009,130,0.004916049009227046,Rhone-Alpes,46-55,11-15,100+,Diesel,50,12,100,0.07,False
1015119,34882.23,19673893.64000001,0.3283951082885555,131,0.004953864770836485,Pays-de-la-Loire,26-35,0-2,51-64,Regular,33,0,54,0.41,False
148193,34819.25,19708712.89000001,0.3289763085117299,132,0.004991680532445923,Centre,36-45,0-2,50,Diesel,44,2,50,1.0,False
1055715,34463.16,19743176.050000012,0.32955156490821436,133,0.005029496294055362,Rhone-Alpes,46-55,6-10,50,Regular,52,7,50,0.59,False
1064710,34062.25,19777238.300000012,0.33012012934604174,134,0.005067312055664801,Rhone-Alpes,46-55,11-15,51-64,Diesel,54,12,62,0.12,False
5020318,33620.84,19810859.14000001,0.3306813258023499,135,0.00510512781727424,Provence-Alpes-Cotes-D'Azur,26-35,3-5,65-84,Diesel,32,4,72,0.47,False
4008268,33441.0,19844300.14000001,0.3312395203833122,136,0.0051429435788836785,Provence-Alpes-Cotes-D'Azur,66+,3-5,50,Regular,73,4,50,0.12,False
3080768,33204.0,19877504.14000001,0.33179375897863755,137,0.005180759340493117,Pays-de-la-Loire,46-55,3-5,51-64,Diesel,54,5,56,1.0,False
2190207,33059.73,19910563.870000012,0.33234558943030107,138,0.005218575102102556,Bretagne,56-65,6-10,50,Diesel,56,8,50,1.0,False
3208153,32288.28,19942852.150000013,0.33288454289833713,139,0.005256390863711995,Bretagne,26-35,3-5,85-99,Diesel,29,3,90,0.008219178,False
3095666,32155.81,19975007.960000012,0.3334212851873971,140,0.005294206625321434,Rhone-Alpes,56-65,6-10,51-64,Diesel,61,9,58,1.0,False
5319,31632.81,20006640.77000001,0.3339492976009796,141,0.005332022386930872,Ile-de-France,36-45,0-2,50,Diesel,45,0,50,0.42,False
170437,31617.92,20038258.690000013,0.33447706147183576,142,0.005369838148540311,Centre,66+,3-5,50,Regular,66,4,50,0.41,False
4036493,31430.49,20069689.18000001,0.33500169677565417,143,0.005407653910149751,Rhone-Alpes,36-45,0-2,50,Diesel,36,1,50,0.67,False
4058794,31232.0,20100921.18000001,0.3355230188997717,144,0.00544546967175919,Ile-de-France,36-45,0-2,51-64,Diesel,38,0,60,0.46,False
4163678,31204.0,20132125.18000001,0.3360438736500588,145,0.005483285433368628,Centre,26-35,11-15,100+,Diesel,30,12,100,0.69,False
2122609,31172.0,20163297.18000001,0.3365641942588252,146,0.005521101194978067,Centre,56-65,11-15,51-64,Diesel,65,13,62,0.54,False
178029,30947.15,20194244.33000001,0.3370807616888132,147,0.005558916956587506,Provence-Alpes-Cotes-D'Azur,26-35,0-2,65-84,Regular,27,2,80,0.45,False
19883,30829.41,20225073.74000001,0.3375953638118438,148,0.005596732718196945,Centre,46-55,0-2,65-84,Diesel,50,2,68,1.0,False
86402,30489.8,20255563.54000001,0.33810429719106766,149,0.0056345484798063835,Provence-Alpes-Cotes-D'Azur,18-25,0-2,85-99,Regular,19,1,95,0.06,False
3073240,30167.28,20285730.82000001,0.3386078470914407,150,0.005672364241415822,Pays-de-la-Loire,66+,6-10,50,Diesel,67,7,50,0.01,False
3254084,30000.0,20315730.82000001,0.3391086047670147,151,0.005710180003025261,Languedoc-Roussillon,46-55,11-15,50,Regular,53,13,50,0.24,False
2084819,30000.0,20345730.82000001,0.3396093624425887,152,0.0057479957646347,Bretagne,36-45,6-10,50,Regular,37,6,50,1.0,False
2266630,30000.0,20375730.82000001,0.3401101201181627,153,0.005785811526244139,Provence-Alpes-Cotes-D'Azur,36-45,0-2,51-64,Diesel,43,0,54,0.23,False
3045337,29126.58,20404857.40000001,0.34059629873477004,154,0.005823627287853577,Rhone-Alpes,26-35,0-2,51-64,Diesel,29,0,51,0.3,False
2135748,29073.46,20433930.86000001,0.3410815906764532,155,0.005861443049463016,Centre,18-25,11-15,100+,Regular,19,14,100,0.69,False
1177322,28614.67,20462545.530000012,0.3415592245310038,156,0.005899258811072455,Bretagne,46-55,11-15,85-99,Regular,46,12,95,0.21,False
5006873,27522.0,20490067.530000012,0.3420186196225754,157,0.005937074572681894,Ile-de-France,26-35,3-5,85-99,Regular,28,4,95,0.29,False
3138311,27504.0,20517571.530000012,0.34247771425954165,158,0.0059748903342913325,Centre,26-35,0-2,85-99,Diesel,29,2,93,0.77,False
4159364,27204.0,20544775.530000012,0.34293180131975215,159,0.006012706095900771,Rhone-Alpes,46-55,6-10,65-84,Diesel,55,10,80,1.0,False
2234608,27000.0,20571775.530000012,0.34338248322776876,160,0.00605052185751021,Languedoc-Roussillon,46-55,11-15,50,Regular,52,12,50,0.41,False
2211584,26672.0,20598447.530000012,0.3438276901851991,161,0.006088337619119649,Centre,46-55,3-5,50,Diesel,50,4,50,0.36,False
25040,26665.92,20625113.450000014,0.34427279565574054,162,0.006126153380729088,Centre,26-35,11-15,65-84,Regular,33,13,80,0.09,False
2270955,26653.54,20651766.990000013,0.34471769448028117,163,0.006163969142338526,Provence-Alpes-Cotes-D'Azur,56-65,6-10,51-64,Diesel,64,6,62,0.5,False
1083202,26575.01,20678342.000000015,0.34516128248814637,164,0.006201784903947965,Provence-Alpes-Cotes-D'Azur,46-55,6-10,50,Regular,48,10,50,0.08,False
5049809,26526.3,20704868.300000016,0.3456040574324657,165,0.006239600665557404,Pays-de-la-Loire,26-35,0-2,100+,Diesel,26,1,100,0.19,False
3055490,26498.79,20731367.090000015,0.34604637318199644,166,0.006277416427166843,Bretagne,46-55,11-15,51-64,Regular,49,12,59,0.34,False
4172127,26356.45,20757723.540000014,0.34648631300327587,167,0.0063152321887762815,Centre,66+,6-10,50,Regular,78,7,50,1.0,False
4131242,26176.55,20783900.090000015,0.34692324994769413,168,0.006353047950385721,Centre,36-45,3-5,50,Diesel,44,4,50,1.0,False
59107,26099.27,20809999.360000014,0.34735889694034006,169,0.00639086371199516,Bretagne,46-55,0-2,85-99,Regular,48,1,90,0.51,False
5095663,25840.0,20835839.360000014,0.34779021621823447,170,0.006428679473604599,Ile-de-France,56-65,0-2,50,Regular,57,0,50,0.23,False
1105282,25711.41,20861550.770000014,0.34821938908181216,171,0.0064664952352140375,Provence-Alpes-Cotes-D'Azur,26-35,6-10,65-84,Diesel,27,7,75,1.0,False
2116919,25520.3,20887071.070000015,0.3486453719520772,172,0.006504310996823476,Ile-de-France,26-35,6-10,65-84,Regular,33,8,72,1.0,False
165930,25471.5,20912542.570000015,0.3490705402565233,173,0.006542126758432915,Rhone-Alpes,26-35,0-2,65-84,Diesel,27,2,76,0.41,False
1115121,25298.32,20937840.890000015,0.3494928178538276,174,0.006579942520042354,Basse-Normandie,26-35,3-5,50,Regular,28,4,50,1.0,False
71595,25152.45,20962993.340000015,0.34991266060039394,175,0.006617758281651793,Nord-Pas-de-Calais,46-55,0-2,51-64,Diesel,48,1,55,1.0,False
2152579,25110.0,20988103.340000015,0.3503317947748494,176,0.0066555740432612314,Centre,46-55,16-20,100+,Regular,52,20,100,0.25,False
18179,25074.81,21013178.150000013,0.35075034156055135,177,0.00669338980487067,Centre,66+,11-15,50,Regular,79,11,50,0.72,False
4133510,25000.0,21038178.150000013,0.3511676396235297,178,0.006731205566480109,Languedoc-Roussillon,46-55,3-5,51-64,Diesel,53,5,52,1.0,False
2274545,24441.66,21062619.810000014,0.3515756179184887,179,0.006769021328089548,Nord-Pas-de-Calais,36-45,3-5,65-84,Regular,41,5,76,0.08,False
4153530,24285.0,21086904.810000014,0.35198098125686583,180,0.0068068370896989866,Nord-Pas-de-Calais,18-25,11-15,100+,Regular,19,12,100,0.12,False
2209259,24172.0,21111076.810000014,0.35238445840799837,181,0.006844652851308425,Centre,56-65,11-15,50,Regular,56,11,50,0.33,False
72012,24031.68,21135108.490000013,0.35278559334856296,182,0.006882468612917864,Centre,18-25,11-15,85-99,Regular,21,13,90,0.46,False
4180368,24000.0,21159108.490000013,0.3531861994890222,183,0.006920284374527303,Rhone-Alpes,56-65,0-2,51-64,Regular,63,0,53,0.26,False
2147286,23468.3,21182576.790000014,0.35357793053427794,184,0.006958100136136742,Centre,18-25,16-20,100+,Regular,20,16,100,0.72,False
1196460,23227.9,21205804.690000013,0.3539656488413601,185,0.0069959158977461805,Provence-Alpes-Cotes-D'Azur,46-55,0-2,50,Regular,47,0,50,0.49,False
2105700,23075.88,21228880.57000001,0.3543508296423809,186,0.007033731659355619,Provence-Alpes-Cotes-D'Azur,36-45,11-15,50,Regular,44,14,50,1.0,False
1047629,23043.74,21251924.31000001,0.354735473965012,187,0.007071547420965058,Rhone-Alpes,18-25,3-5,51-64,Diesel,25,5,57,1.0,False
